frame_idx,timestamp,az,el
235,00:40:52.163856,-1.9663882,1.3875353
236,00:40:52.181809,-1.957248,1.3822747
237,00:40:52.199917,-1.9737742,1.3836615
238,00:40:52.217954,-1.9529746,1.4030175
239,00:40:52.235477,-1.9559038,1.3945558
240,00:40:52.253624,-1.9807628,1.3783793
241,00:40:52.271414,-1.988742,1.3844275
242,00:40:52.289582,-1.9871435,1.3871412
243,00:40:52.308110,-1.9643421,1.3795382
244,00:40:52.326850,-1.9528062,1.3899782
245,00:40:52.344880,-1.9557664,1.3986069
246,00:40:52.363484,-1.9668756,1.3770158
247,00:40:52.381300,-1.9501839,1.3964865
248,00:40:52.399343,-1.9650421,1.3794589
249,00:40:52.417556,-1.9610518,1.3852277
250,00:40:52.435873,-1.9515364,1.3885669
251,00:40:52.453648,-1.964736,1.3720686
252,00:40:52.470889,-1.9749849,1.3819749
253,00:40:52.488297,-1.9690971,1.3884344
254,00:40:52.504548,-1.9660503,1.3762697
255,00:40:52.521671,-1.971892,1.3897426
256,00:40:52.538369,-1.9959275,1.3800653
257,00:40:52.555443,-1.9743242,1.3798993
258,00:40:52.572847,-1.9749497,1.3766329
259,00:40:52.589449,-1.9903805,1.3751817
260,00:40:52.606518,-1.9718786,1.3875215
261,00:40:52.624675,-1.9718549,1.3935084
262,00:40:52.642081,-1.9680575,1.3835149
263,00:40:52.659842,-1.9663141,1.3739847
264,00:40:52.677483,-1.9692535,1.3861685
265,00:40:52.695332,-1.9716021,1.3807683
266,00:40:52.713635,-1.9700248,1.3863811
267,00:40:52.731937,-1.9504937,1.3832283
268,00:40:52.750274,-1.9639435,1.3948264
269,00:40:52.767091,-1.9784467,1.3795894
270,00:40:52.785555,-1.9582281,1.3844078
271,00:40:52.804565,-1.965706,1.3943651
272,00:40:52.824281,-1.9625865,1.3836396
273,00:40:52.843631,-1.9489404,1.3950843
274,00:40:52.862800,-1.9490566,1.3952245
275,00:40:52.881697,-1.9615762,1.3924505
276,00:40:52.900960,-1.966234,1.38363
277,00:40:52.919155,-1.9768466,1.3859167
278,00:40:52.937371,-1.9881771,1.3826671
279,00:40:52.955319,-1.952591,1.3909879
280,00:40:52.973852,-1.9652555,1.3841276
281,00:40:52.991123,-1.9724677,1.3740402
282,00:40:53.009460,-1.9757569,1.3891985
283,00:40:53.027553,-1.9640734,1.3878024
284,00:40:53.045556,-1.9571295,1.3859009
285,00:40:53.064366,-1.9709566,1.3864431
286,00:40:53.082962,-1.9717127,1.3886766
287,00:40:53.101051,-1.9695681,1.3999265
288,00:40:53.119276,-1.9788643,1.3836075
289,00:40:53.137493,-1.9777493,1.3942066
290,00:40:53.155544,-1.9705763,1.3957124
291,00:40:53.173145,-1.9709933,1.3763096
292,00:40:53.190820,-1.9687299,1.3873708
293,00:40:53.208652,-1.9847709,1.386394
294,00:40:53.226300,-1.972982,1.3960478
295,00:40:53.244038,-1.966273,1.3884801
296,00:40:53.262463,-1.9586694,1.399277
297,00:40:53.280700,-1.9717239,1.3817532
298,00:40:53.298992,-1.9741341,1.3847202
299,00:40:53.317856,-1.9629904,1.3868904
300,00:40:53.336704,-1.9637165,1.3856168
301,00:40:53.355487,-1.9785502,1.379858
302,00:40:53.374013,-1.9850204,1.3825228
303,00:40:53.392814,-1.9743831,1.3812191
304,00:40:53.411007,-1.9716681,1.3798819
305,00:40:53.429517,-1.967623,1.3783222
306,00:40:53.448027,-1.9538134,1.3993832
307,00:40:53.466403,-1.9821343,1.3687272
308,00:40:53.485119,-1.9740139,1.3829031
309,00:40:53.503943,-1.9762788,1.3864222
310,00:40:53.523066,-1.9723561,1.3845763
311,00:40:53.541973,-1.9693646,1.3902872
312,00:40:53.560266,-1.9778352,1.3853471
313,00:40:53.578723,-1.9660861,1.3801204
314,00:40:53.597114,-1.9788852,1.3854152
315,00:40:53.614982,-1.959148,1.395848
316,00:40:53.632804,-1.955972,1.3916652
317,00:40:53.650645,-1.9656141,1.3808347
318,00:40:53.669425,-1.9561915,1.3904041
319,00:40:53.688009,-1.9581828,1.3956583
320,00:40:53.705842,-1.9689738,1.3831757
321,00:40:53.723592,-1.974509,1.383748
322,00:40:53.740374,-1.9789659,1.3882194
323,00:40:53.758353,-1.9666059,1.3846362
324,00:40:53.775797,-1.9594622,1.3920671
325,00:40:53.793839,-1.9846952,1.3759996
326,00:40:53.811326,-1.9696286,1.374419
327,00:40:53.829287,-1.9656255,1.3865044
328,00:40:53.847355,-1.954708,1.3921717
329,00:40:53.865718,-1.9529784,1.3901445
330,00:40:53.884274,-1.971624,1.3900478
331,00:40:53.903302,-1.9957068,1.3811698
332,00:40:53.922164,-1.970173,1.3765616
333,00:40:53.940149,-1.9655411,1.3793952
334,00:40:53.958393,-1.9674238,1.3810934
335,00:40:53.976746,-1.9606335,1.381474
336,00:40:53.995427,-1.9638453,1.3760579
337,00:40:54.013666,-1.9477959,1.3898143
338,00:40:54.031332,-1.9502834,1.3894169
339,00:40:54.049028,-1.9579895,1.3815441
340,00:40:54.066184,-1.9606086,1.3868684
341,00:40:54.083802,-1.9611647,1.398398
342,00:40:54.101338,-1.9544331,1.3857412
343,00:40:54.118876,-1.9457152,1.3968458
344,00:40:54.137357,-1.9684252,1.3795667
345,00:40:54.155399,-1.9552634,1.3847191
346,00:40:54.173479,-1.9550638,1.3814449
347,00:40:54.190505,-1.9500786,1.3829668
348,00:40:54.208352,-1.9633913,1.3780918
349,00:40:54.225437,-1.9664766,1.3805304
350,00:40:54.242557,-1.9675267,1.3792763
351,00:40:54.260371,-1.9710457,1.3708049
352,00:40:54.278345,-1.9614772,1.3937079
353,00:40:54.296528,-1.9635216,1.3888851
354,00:40:54.314361,-1.9801077,1.3756819
355,00:40:54.332304,-1.9740877,1.381718
356,00:40:54.350035,-1.9623821,1.3727782
357,00:40:54.368350,-1.9684107,1.3951811
358,00:40:54.386447,-1.9588237,1.3920656
359,00:40:54.405510,-1.9567964,1.3884399
360,00:40:54.424104,-1.9701021,1.3859199
361,00:40:54.443672,-1.9522581,1.3884914
362,00:40:54.462822,-1.9762951,1.3868442
363,00:40:54.482746,-1.9720165,1.3818526
364,00:40:54.501711,-1.9784513,1.38938
365,00:40:54.520587,-1.982245,1.3845985
366,00:40:54.539195,-1.9782492,1.3782008
367,00:40:54.558120,-1.9701614,1.3860121
368,00:40:54.576349,-1.9674517,1.3862678
369,00:40:54.594921,-1.9558722,1.3747635
370,00:40:54.612079,-1.9764173,1.3824683
371,00:40:54.630569,-1.9632019,1.3833097
372,00:40:54.648934,-1.9680935,1.382571
373,00:40:54.668383,-1.957264,1.3762841
374,00:40:54.686995,-1.9615378,1.3764131
375,00:40:54.705470,-1.9592752,1.3837726
376,00:40:54.723566,-1.9748077,1.3899953
377,00:40:54.741802,-1.9773685,1.377348
378,00:40:54.759299,-1.9692358,1.3883352
379,00:40:54.777463,-1.9621401,1.394913
380,00:40:54.795745,-1.9744565,1.3826214
381,00:40:54.813995,-1.9539905,1.3984885
382,00:40:54.832093,-1.9614043,1.3863239
383,00:40:54.850128,-1.9639767,1.3889511
384,00:40:54.867699,-1.9660454,1.3793774
385,00:40:54.885946,-1.9575039,1.3811605
386,00:40:54.904314,-1.9664693,1.3800514
387,00:40:54.923616,-1.9642824,1.3781374
388,00:40:54.940554,-1.9711934,1.3816605
389,00:40:54.958553,-1.984482,1.3738992
390,00:40:54.975765,-1.9609923,1.3892742
391,00:40:54.993205,-1.9701172,1.38173
392,00:40:55.010389,-1.9580817,1.3886206
393,00:40:55.027591,-1.9578059,1.3893925
394,00:40:55.044581,-1.9552895,1.3944714
395,00:40:55.062725,-1.9555899,1.3820627
396,00:40:55.079140,-1.9529989,1.3875766
397,00:40:55.095050,-1.9594867,1.3764739
398,00:40:55.110128,-1.9744434,1.3720562
399,00:40:55.126029,-1.9448744,1.3888712
400,00:40:55.142111,-1.9553734,1.3924599
401,00:40:55.158391,-1.9687964,1.3858085
402,00:40:55.174748,-1.9630133,1.3796822
403,00:40:55.190675,-1.9736917,1.3848403
404,00:40:55.206923,-1.9862728,1.378234
405,00:40:55.223339,-1.9708196,1.3824384
